pais	origin	fxtousd	fxtoeur	data_date_part
NY	PAR	0.012610159	0.010635155424959	2020-11-20
NY	UVR	0.075809879	0.063936534979905	2020-11-20
NY	NOK	0.111040534	0.093649364248800	2020-11-20
NY	FSU	1.097149094	0.925313593858392	2020-11-20
NY	TND	0.364570991	0.307471879440267	2020-11-20
ES	XAG	23.98	20.214963119072708	2020-11-20
ES	BBD	0.500475452	0.421897114165728	2020-11-20
ES	ZAR	0.065311241	0.055056894177146	2020-11-20
ES	CLP	0.001312215	0.001106187914253	2020-11-20
ES	DOP	0.017140898	0.014449650733880	2020-11-20
ES	YCN	0.152369343	0.128446232487360	2020-11-20
ES	KRW	0.000896982	0.000756148920316	2020-11-20
ES	MYR	0.24434942	0.205984758415282	2020-11-20
ES	ARR	0.185757939	0.156592572248608	2020-11-20
ES	ILS	0.299490866	0.252468590540444	2020-11-20
ES	JPY	0.009632519	0.008120142790681	2020-11-20
ES	ORO	1874.245	1579.974710221285564	2020-11-20
ES	DAT	0.731341646	0.616515613319283	2020-11-20
ES	CAD	0.765667471	0.645452030025299	2020-11-20
ES	CNH	0.152532032	0.128583377641022	2020-11-20
ES	PYG	0.000142146	0.000119827864816	2020-11-20
ES	RON	0.243433384	0.205212547485222	2020-11-20
ES	GHS	0.171453065	0.144533668892335	2020-11-20
ES	BRT	1	0.842992623814542	2020-11-20
ES	TWD	0.035070492	0.029564165806781	2020-11-20
ES	HKD	0.128988152	0.108736061064867	2020-11-20
ES	PHP	0.020735273	0.017479682000011	2020-11-20
ES	UDL	1	0.842992623814542	2020-11-20
ES	DOL	1	0.842992623814542	2020-11-20
ES	EUI	1	0.842992623814542	2020-11-20
ES	SAR	0.26664178	0.224777053825521	2020-11-20
ES	OMR	2.597402597	2.189591230687121	2020-11-20
ES	COP	0.00027363	0.000230668074169	2020-11-20
ES	XPT	0.001048251	0.000883667855189	2020-11-20
ES	F0U	1	0.842992623814542	2020-11-20
ES	UDI	0.328356844	0.276802397642337	2020-11-20
ES	CNO	0.111133955	0.093685104584225	2020-11-20
ES	LTL	1.18625	1.000000000000000	2020-11-20
ES	USC	1	0.842992623814542	2020-11-20
ES	XUL	1874.245	1579.974710221285564	2020-11-20
ES	CHF	1.097694841	0.925348654022548	2020-11-20
ES	SGD	0.744463056	0.627576864928004	2020-11-20
NY	DNZ	0.693998833	0.585304730275775	2020-11-20
NY	MXN	0.049756096	0.041963295701150	2020-11-20
NY	EUR	1.185705151	1.000000000000000	2020-11-20
NY	HCN	0.152609174	0.128707524315370	2020-11-20
NY	PCL	0.001314009	0.001108208913799	2020-11-20
NY	COP	0.000275309	0.000232190141283	2020-11-20
NY	GBP	1.328591161	1.120507202604076	2020-11-20
